の,to
に,do
する,teeth
は,of
を,but
が,and
と,year
年,in
で,is
だ,month
月,too
も,from
から,day
日,Become
成る,thing
こと,Yes
有る,evening
よる,or
や,etc.
など,say
言う,Japan
日本,for the sake of
為,this
この,people
人,the
その,to
まで,thing
もの,fart
へ,also
又,this
これ,conduct
行う,Yo
よう,It is possible
出来る,station
駅,country
国,twist
より,university
大学,the current
現在,rear
後,mosquito
か,line
線,nu
ぬ,broadcast
放送,issue
号,army
軍,None
無い,Department
部,have
持つ,place
所,given name
名,times
回,world
世界,time
時,war
戦,era
時代,Tokyo
東京,put
おく,but
でも,Call
呼ぶ,after that
その後,meeting
会,that
それ,machine
機,meet
会う,receive
受ける,many
多い,player
選手,case
場合,Opposite
対する,but
しかし,arrive
つく,Showa
昭和,the work
作品,earth
地,Medium
中,use
使用,both
共に,school
学校,word
語,he
彼,go
行く,America
アメリカ,at that time
当時,program
番組,car
車,Company
社,river
川,movie
映画,rank
位,look
見る,tv set
テレビ,system
系,the study
研究,town
町,east
東,existence
存在,activity
活動,Release
発売,others
他,Birthplace
出身,era
年代,company
会社,Power
権,development
開発,minutes
分,west
西,Railway
鉄道,law
法,Bureau
局,Furthermore
更に,only
のみ,between
間,mountain
山,formula
式,island
島,In addition
なお,Possible
可能,Germany
ドイツ,representative
代表,use
使う,same
同じ,song
曲,region
地域,Made by
作,case
事,edition
版,take
取る,Appearance
登場,team
チーム,world
世,time
時間,in
於ける,center
中心,tournament
大会,many
多く,south
南,series
シリーズ,award
賞,north
北,start
開始,France
フランス,part
一部,start
始める,Heisei
平成,know
知る,child
子,game
ゲーム,road
道,corner
角,Use
用いる,and
および,Hall
館,place
場,body
体,century
世紀,music
音楽,Participation
参加,announcement
発表,record
記録,Hang
掛ける,expensive
高い,use
利用,edge
際,Participation
出場,international
国際,league
リーグ,Affiliation
所属,serve
務める,relationship
関係,think
考える,England
イギリス,to be born
生まれる,enter
入る,degree
度,state
州,all
全て,Meiji
明治,raw
生,point
点,force
力,good
良い,only
だけ,king
王,game
試合,obtain
得る,Victory
優勝,City
都市,include
含む,album
アルバム,cum
込む,problem
問題,season
シーズン,held
開催,Osaka
大阪,position
位置,director
監督,above
上,main
主,Installation
設置,county
郡,war
戦争,thing
物,ship
艦,region
地方,squad
隊,Period
期,castle
城,at
にて,long
長,plan
計画,No.
番,need
必要,put out
出す,general
一般,change
変更,Book
本,center
中央,Regarding
関する,Go out
出る,Appearance
出演,make
作る,base
基,business
事業,committee member
委員,bus
バス,city
市,below
以下,society
社会,education
教育,incident
事件,especially
特に,graduation
卒業,Role
役,Initially
当初,result
結果,election
選挙,institution
機関,big
大きい,high school
高等,acquisition
獲得,government
政府,fight
戦う,China
中国,first
最初,Establishment
設立,put
置く,seed
種,gold
金,construction
建設,sect
派,To be continued
続く,influence
影響,culture
文化,Department
科,outside
外,debut
デビュー,stand
台,information
情報,and
そして,aviation
航空,village
村,politics
政治,Similarly
同様,sale
販売,surface
面,different
異なる,in charge
担当,most
最も,temple
寺,attack
攻撃,population
人口,while
ながら,and
及び,Ward
区,horse
馬,professional
プロ,economy
経済,wear
付ける,district
地区,give
与える,each
それぞれ,Annual
年間,water
水,composition
構成,route
路線,shoot
射る,united states of america
アメリカ合衆国,rice
米,Recruitment
採用,accompanying
伴う,principle
主義,increase
上げる,group
グループ,woman
女性,hand
手,system
システム,history
歴史,meaning
意味,on the other hand
一方,Former
元,prefecture
県,continue
続ける,technology
技術,Hit
当たる,home
うち,navy
海軍,public
公,occurrence
発生,manufacturing
製造,myself
自身,vehicle
車両,light
光,story
話,baseball
野球,investigation
調査,boat
船,single
シングル,Victory
勝,train
列車,Positive
正,father
父,Active
活躍,Ministry
省,end
終了,sentence
文,first time
初,Nationwide
全国,Recording
収録,person
人物,Russia
ロシア,cross
渡る,production
制作,Inauguration
就任,last
最後,write
書く,under
下,engine
エンジン,situation
状態,In the past
かつて,shape
形,almost
殆んど,bridge
橋,decision
決定,time
経る,organization
組織,Italy
イタリア,morning
朝,empire
帝国,production
生産,fulfill
果たす,stock
株式,sea
海,God
神,year
年度,Model
モデル,draw
描く,road
道路,system
制,Next
次,however
但し,Member of Parliament
議員,Kyoto
京都,portion
部分,comics
漫画,maximum
最大,name
名称,stone
石,member
員,independence
独立,calligraphy
書,facility
施設,place
場所,Prefectural road
県道,It begins
始まる,show
示す,onwards
以降,various
様々,large
大きな,club
クラブ,function
機能,Heaven
天,soccer
サッカー,troops
部隊,mounted
搭載,first time
初めて,soldier
兵,high school
高校,public
公開,party
党,Formation
編成,motion
運動,amount
量,season
時期,Center
センター,production
製作,Domain
藩,strong
強い,company
企業,Award
受賞,Attach
付く,Infirmary
院,shop
店,battle
戦闘,tie
結ぶ,the purpose
目的,usually
通常,correspondence
対応,Remaining
残る,victory
勝利,Home
ホーム,management
管理,To reach
至る,group
団,tree
木,final
最終,basic
基本,professor
教授,drama
ドラマ,raise
挙げる,structure
構造,Composition
作曲,anime
アニメ,design
設計,implementation
実施,current
現,long
長い,member
メンバー,territory
領,traffic
交通,room
室,Association
協会,Girls
女子,person
者,setting
設定,discovery
発見,contract
契約,Faith
信,English
英語,life
生活,Union
連合,car
自動車,command
指揮,color
色,myself
自分,To reach
及ぶ,radio
ラジオ,song
歌,heavy
重,scale
規模,Transfer
移籍,think
思う,abolition
廃止,name
名前,important
重要,success
成功,original
原,schedule
予定,special
特別,admit
認める,character
キャラクター,Volume
巻,the best
最高,Add
加える,here
ここ,band
バンド,again
再び,Takeshi
武,actual
実際,There
そこ,to resemble
似る,set
組,driving
運転,Specialty
専門,publication
出版,Content
内容,roast
煎る,pieces
個,primary school
小学校,righteousness
義,number
数,End
終わる,example
例,release
リリース,match
合わせる,Great War
大戦,science
科学,Operation
運行,versus
対,Hokkaido
北海道,samurai
士,Europe
ヨーロッパ,group
群,few
少ない,designation
指定,Edo
江戸,place
ところ,army
陸軍,leave
残す,church
教会,#VALUE!
